id	label
PKWS	Desulfosporosinus sp. isolate palsa_1189 73.20120500_P28.28_contig_10164
PKWT	Micrococcales bacterium isolate palsa_659 73.20120500_P28.26_contig_10049
PKWU	Granulicella sp. isolate palsa_287 73.20120500_P28.19_contig_10023
PKWW	Acidimicrobiaceae bacterium isolate palsa_658 73.20120500_P28.10_contig_1083
PKWX	Caldiserica bacterium isolate palsa_1010 73.20120500_P28.1_contig_10099
PKWY	Acidimicrobiaceae bacterium isolate palsa_657 73.20120500_P27.30_contig_103
PKXC	Deltaproteobacteria bacterium isolate palsa_1116 73.20120500_P26.9_contig_10064
PKXD	Verrucomicrobia subdivision 3 bacterium isolate palsa_1423 73.20120500_P26.7_contig_1007
PKXE	Candidate division AD3 bacterium isolate palsa_862 73.20120500_P26.6_contig_10233
PKXG	Acidimicrobiaceae bacterium isolate palsa_654 73.20120500_P26.32_contig_10158
PKXJ	Acidimicrobiaceae bacterium isolate palsa_652 73.20120500_P26.10_contig_1163
PKXK	Acidobacteriaceae bacterium isolate palsa_286 73.20120500_P26.1_contig_1001
PKXL	Candidate division AD3 bacterium isolate palsa_861 73.20120500_P25.9_contig_10150
PKXM	Acidobacteriaceae bacterium isolate palsa_284 73.20120500_P25.5_contig_10011
PKXO	Acidobacteriaceae bacterium isolate palsa_282 73.20120500_P25.12_contig_10
PKXQ	Acidobacteriaceae bacterium isolate palsa_280 73.20120500_P24.3_contig_10455
PKXS	Gammaproteobacteria bacterium isolate palsa_1208 73.20120500_P24.22_contig_1014
PKXU	Acidobacteriaceae bacterium isolate palsa_277 73.20120500_P24.13_contig_10031
PKXW	Acidobacteria bacterium isolate palsa_276 73.20120500_P23.6_contig_10000
PKXX	Acidobacteria bacterium isolate palsa_275 73.20120500_P23.4_contig_100374
PKXY	Solirubrobacterales bacterium isolate palsa_651 73.20120500_P23.3_contig_10
PKXZ	Candidate division AD3 bacterium isolate palsa_859 73.20120500_P23.17_contig_10056
PKYD	Acidobacteria bacterium isolate palsa_274 73.20120500_P22.4_contig_10047
PKYE	Solirubrobacterales bacterium isolate palsa_648 73.20120500_P22.3_contig_1003
PKYG	Actinobacteria bacterium isolate palsa_647 73.20120500_P19.4_contig_1
PKYJ	Peptococcaceae bacterium isolate palsa_1188 73.20120500_P19.26_contig_10051
PKYL	Euryarchaeota archaeon isolate palsa_43 73.20120500_P19.16_contig_10351
PKYM	Actinobacteria bacterium isolate palsa_645 73.20120500_P19.15_contig_1012
PKYN	Actinobacteria bacterium isolate palsa_644 73.20120500_P19.14_contig_10069
PKYO	Acidimicrobiaceae bacterium isolate palsa_643 73.20120500_P17.9_contig_10056
PKYP	Acidimicrobiaceae bacterium isolate palsa_642 73.20120500_P17.4_contig_10014
PKYS	Acidimicrobiaceae bacterium isolate palsa_640 73.20120500_P16.6_contig_100
PKYT	Acidobacteriaceae bacterium isolate palsa_271 73.20120500_P16.3_contig_10611
PKYU	Chitinophagaceae bacterium isolate palsa_955 73.20120500_P16.21_contig_1006
PKYV	Candidate division AD3 bacterium isolate palsa_858 73.20120500_P16.2_contig_10184
PKYW	Candidate division AD3 bacterium isolate palsa_857 73.20120500_P15.8_contig_1029
PKYX	Acidobacteriaceae bacterium isolate palsa_270 73.20120500_P15.6_contig_10107
PKYY	Acidobacteriaceae bacterium isolate palsa_269 73.20120500_P14.5_contig_100
PKYZ	Solibacterales bacterium isolate palsa_268 73.20120500_P14.26_contig_1001
PKZA	Acidobacteria bacterium isolate palsa_267 73.20120500_P14.1_contig_1007
PKZC	Solibacterales bacterium isolate palsa_265 73.20120500_P13.26_contig_10017
PKZE	Acidimicrobiaceae bacterium isolate palsa_639 73.20120500_P13.20_contig_10191
PKZG	Candidate division AD3 bacterium isolate palsa_856 73.20120500_P13.1_contig_100051
PKZH	Acidobacteria bacterium isolate palsa_264 73.20120500_P12.3_contig_10110
PKZF	Acidobacteriaceae bacterium isolate palsa_266 73.20120500_P13.2_contig_1016
PKZI	Acidimicrobiaceae bacterium isolate bog_637 73.20111000_S3S.8_contig_100374
PKZK	Candidate division WPS-2 bacterium isolate bog_1503 73.20111000_S3S.5_contig_100362
PKZL	Acidimicrobiaceae bacterium isolate bog_636 73.20111000_S3S.3_contig_100359
PKZM	Acetobacteraceae bacterium isolate bog_908 73.20111000_S3S.15_contig_10041
PKZN	Acidimicrobiaceae bacterium isolate bog_635 73.20111000_S3S.1_contig_102088
PKZP	Acidimicrobiaceae bacterium isolate bog_633 73.20111000_S3M.3_contig_1016
PKZO	Acidimicrobiaceae bacterium isolate bog_634 73.20111000_S3M.5_contig_10273
PKZQ	Acidobacteriaceae bacterium isolate bog_263 73.20111000_S3M.2_contig_10
PKWE	Gammaproteobacteria bacterium isolate palsa_1210 73.20120500_P32.12_contig_1017
PKWF	Candidate division WPS-2 bacterium isolate palsa_1505 73.20120500_P31.9_contig_100144
PKWK	Granulicella sp. isolate palsa_288 73.20120500_P28.9_contig_10005
PKWL	Janthinobacterium sp. isolate palsa_998 73.20120500_P28.8_contig_1041
PKWM	Rhodoferax sp. isolate palsa_997 73.20120500_P28.7_contig_101
PKWQ	Acetobacteraceae bacterium isolate palsa_911 73.20120500_P28.34_contig_101187
PKWR	Coriobacteriia bacterium isolate palsa_660 73.20120500_P28.32_contig_10045
PKWV	Euryarchaeota archaeon isolate palsa_44 73.20120500_P28.11_contig_101057
PKXA	Acidimicrobiaceae bacterium isolate palsa_655 73.20120500_P27.13_contig_101
PKXB	Rhizobiales bacterium isolate palsa_910 73.20120500_P27.1_contig_10031
PKWZ	Acidimicrobiaceae bacterium isolate palsa_656 73.20120500_P27.15_contig_10027
PKXF	Candidatus Saccharibacteria bacterium isolate palsa_1325 73.20120500_P26.46_contig_11541
PKXH	Acidimicrobiaceae bacterium isolate palsa_653 73.20120500_P26.23_contig_10325
PKXI	Acidobacteriaceae bacterium isolate palsa_285 73.20120500_P26.11_contig_10000
PKXN	Acidobacteriaceae bacterium isolate palsa_283 73.20120500_P25.2_contig_1002
PKXP	Solibacterales bacterium isolate palsa_281 73.20120500_P24.8_contig_100
PKXR	Candidate division AD3 bacterium isolate palsa_860 73.20120500_P24.24_contig_10111
PKXT	Acidobacteria bacterium isolate palsa_278 73.20120500_P24.19_contig_1006
PKXV	Acidobacteria bacterium isolate palsa_279 73.20120500_P24.1_contig_10
PKYA	Acidimicrobiaceae bacterium isolate palsa_650 73.20120500_P23.13_contig_1004
PKYB	Solirubrobacterales bacterium isolate palsa_649 73.20120500_P22.9_contig_10
PKYC	Opitutaceae bacterium isolate palsa_1422 73.20120500_P22.8_contig_100996
PKYF	Acidobacteriaceae bacterium isolate palsa_273 73.20120500_P22.17_contig_1006
PKYH	Candidatus Bathyarchaeota archaeon isolate palsa_986 73.20120500_P19.30_contig_10124
PKYI	Acidobacteria bacterium isolate palsa_272 73.20120500_P19.29_contig_10189
PKYK	Acidimicrobiaceae bacterium isolate palsa_646 73.20120500_P19.24_contig_10
PKYQ	Acidimicrobiaceae bacterium isolate palsa_641 73.20120500_P17.2_contig_101
PKYR	Rhodanobacteraceae bacterium isolate palsa_1207 73.20120500_P17.17_contig_1059
PKZB	Gemmatimonadetes bacterium isolate palsa_1240 73.20120500_P13.9_contig_10062
PKZD	Candidate division WPS-2 bacterium isolate palsa_1504 73.20120500_P13.25_contig_10019
PKZJ	Caulobacteraceae bacterium isolate bog_909 73.20111000_S3S.6_contig_10013
PKZR	Verrucomicrobia subdivision 3 bacterium isolate bog_1421 73.20111000_S3M.12_contig_10001
PKZS	Gammaproteobacteria bacterium isolate bog_1206 73.20111000_S3M.11_contig_10011
PKZT	Acidimicrobiaceae bacterium isolate bog_632 73.20111000_S3M.1_contig_107
PKZV	Acidimicrobiaceae bacterium isolate bog_630 73.20111000_S3D.7_contig_1002
PKZW	Gammaproteobacteria bacterium isolate bog_1205 73.20111000_S3D.35_contig_10043
PKZX	Methylocystaceae bacterium isolate bog_907 73.20111000_S3D.29_contig_10105
PKZY	Mycobacterium sp. isolate bog_629 73.20111000_S3D.26_contig_10037
PLAA	Acidimicrobiaceae bacterium isolate bog_628 73.20111000_S3D.16_contig_1
PKZZ	Candidate division AD3 bacterium isolate bog_855 73.20111000_S3D.17_contig_103081
PLAB	Verrucomicrobia subdivision 3 bacterium isolate bog_1420 73.20111000_S3D.13_contig_10009
PLAE	Candidate division WPS-2 bacterium isolate bog_1502 73.20111000_S2S.14_contig_10151
PLAH	Gammaproteobacteria bacterium isolate bog_1204 73.20111000_S2M.32_contig_1014
PLAI	Methylocystaceae bacterium isolate bog_906 73.20111000_S2M.28_contig_10027
PLAN	Acidobacteriaceae bacterium isolate bog_262 73.20111000_S2M.12_contig_10471
PLAK	Candidate division AD3 bacterium isolate bog_854 73.20111000_S2M.16_contig_101406
PLAL	Acidimicrobiaceae bacterium isolate bog_623 73.20111000_S2M.15_contig_10044
PLAM	Verrucomicrobia subdivision 3 bacterium isolate bog_1419 73.20111000_S2M.13_contig_10419
PKZU	Acidimicrobiaceae bacterium isolate bog_631 73.20111000_S3D.8_contig_1008
PLAC	Acidimicrobiaceae bacterium isolate bog_627 73.20111000_S2S.3_contig_1027
PLAD	Armatimonadetes bacterium isolate bog_944 73.20111000_S2S.23_contig_10016
PLAF	Acidimicrobiaceae bacterium isolate bog_626 73.20111000_S2M.8_contig_10189
PLAG	Acidimicrobiaceae bacterium isolate bog_625 73.20111000_S2M.6_contig_10661
PLAJ	Mycobacterium sp. isolate bog_624 73.20111000_S2M.25_contig_1002
PLAO	Acidobacteriaceae bacterium isolate bog_261 73.20111000_S2D.5_contig_10035
PLAP	Methanobacterium sp. isolate bog_42 73.20111000_S2D.42_contig_10070
PLAQ	Acidimicrobiaceae bacterium isolate bog_622 73.20111000_S2D.4_contig_10159
PLAT	Granulicella sp. isolate bog_259 73.20111000_S2D.27_contig_10022
PLAY	Verrucomicrobia subdivision 3 bacterium isolate bog_1418 73.20111000_S2D.10_contig_10395
PLAZ	Acidimicrobiaceae bacterium isolate bog_618 73.20111000_S1M.3_contig_10128
PLBB	Acidimicrobiaceae bacterium isolate bog_617 73.20111000_S1D.5_contig_100948
PLBE	Acidobacteriaceae bacterium isolate bog_256 73.20111000_S1D.36_contig_1000
PLBH	Candidate division WPS-2 bacterium isolate bog_1501 73.20111000_S1D.25_contig_10162
PLBF	Mycobacterium sp. isolate bog_615 73.20111000_S1D.33_contig_1002
PLBJ	Acidimicrobiaceae bacterium isolate bog_613 73.20111000_S1D.10_contig_10077
PLBK	Actinobacteria bacterium isolate palsa_612 73.20111000_P3M.97_contig_1046
PLBM	Acidimicrobiaceae bacterium isolate palsa_611 73.20111000_P3M.84_contig_107070
PLBO	Actinobacteria bacterium isolate palsa_610 73.20111000_P3M.68_contig_10272
PLBQ	Solibacterales bacterium isolate palsa_255 73.20111000_P3M.63_contig_10148
PLBS	Gallionella sp. isolate palsa_995 73.20111000_P3M.48_contig_10289
PLBT	Candidate division WPS-2 bacterium isolate palsa_1499 73.20111000_P3M.46_contig_10008
PLBU	Candidate division AD3 bacterium isolate palsa_850 73.20111000_P3M.44_contig_10946
PLBY	Acidobacteriaceae bacterium isolate palsa_252 73.20111000_P3M.31_contig_10539
PLBZ	Solirubrobacterales bacterium isolate palsa_609 73.20111000_P3M.26_contig_10017
PLCA	Gemmatimonadetes bacterium isolate palsa_1239 73.20111000_P3M.22_contig_139
PLCB	Candidate division WPS-2 bacterium isolate palsa_1498 73.20111000_P3M.21_contig_10484
PLCC	Spartobacteria bacterium isolate palsa_1416 73.20111000_P3M.20_contig_1
PLCK	Actinobacteria bacterium isolate palsa_607 73.20111000_P3M.104_contig_10028
PLCM	Spartobacteria bacterium isolate palsa_1414 73.20111000_P3D.6_contig_101
PLCN	Spartobacteria bacterium isolate palsa_1413 73.20111000_P3D.5_contig_1237
PLCO	Acidobacteriaceae bacterium isolate palsa_249 73.20111000_P3D.47_contig_108
PLCR	Rhizobiales bacterium isolate palsa_903 73.20111000_P3D.26_contig_100116
PLCS	Acidobacteriaceae bacterium isolate palsa_248 73.20111000_P3D.24_contig_11
PLCT	Gemmatimonadetes bacterium isolate palsa_1238 73.20111000_P3D.21_contig_10145
PLCU	Acidobacteriaceae bacterium isolate palsa_247 73.20111000_P3D.19_contig_10245
PLCW	Gemmatimonadetes bacterium isolate palsa_1237 73.20111000_P3D.16_contig_1088
PLCX	Candidate division AD3 bacterium isolate palsa_847 73.20111000_P3D.15_contig_10028
PLCZ	Spartobacteria bacterium isolate palsa_1410 73.20111000_P3D.11_contig_10000
PLDA	Candidate division WPS-2 bacterium isolate palsa_1496 73.20111000_P3D.1_contig_17
PLDC	Acidobacteriaceae bacterium isolate palsa_246 73.20111000_P2S.3_contig_1
PLDD	Solibacterales bacterium isolate palsa_245 73.20111000_P2M.5_contig_1001
PLDE	Candidate division AD3 bacterium isolate palsa_846 73.20111000_P2M.19_contig_10045
PLDF	Solibacterales bacterium isolate palsa_243 73.20111000_P2M.18_contig_100467
PLDG	Gammaproteobacteria bacterium isolate palsa_1202 73.20111000_P2M.16_contig_10118
PLDH	Acidobacteria bacterium isolate palsa_244 73.20111000_P2M.1_contig_1018
PLDJ	Acidimicrobiaceae bacterium isolate palsa_603 73.20111000_P2D.8_contig_10028
PLDK	Deltaproteobacteria bacterium isolate palsa_1114 73.20111000_P2D.7_contig_1035
PLAR	Mycobacterium sp. isolate bog_621 73.20111000_S2D.31_contig_10
PLAS	Solibacterales bacterium isolate bog_260 73.20111000_S2D.3_contig_1
PLAU	Acidimicrobiaceae bacterium isolate bog_620 73.20111000_S2D.2_contig_1011
PLAV	Acidimicrobiaceae bacterium isolate bog_619 73.20111000_S2D.19_contig_1031
PLAW	Candidate division AD3 bacterium isolate bog_853 73.20111000_S2D.16_contig_10038
PLAX	Candidate division AD3 bacterium isolate bog_852 73.20111000_S2D.15_contig_10027
PLBA	Acidobacteriaceae bacterium isolate bog_258 73.20111000_S1D.8_contig_10027
PLBC	Acidimicrobiaceae bacterium isolate bog_616 73.20111000_S1D.4_contig_1046
PLBD	Acidobacteriaceae bacterium isolate bog_257 73.20111000_S1D.39_contig_100059
PLBG	Gammaproteobacteria bacterium isolate bog_1203 73.20111000_S1D.29_contig_10072
PLBI	Acidimicrobiaceae bacterium isolate bog_614 73.20111000_S1D.16_contig_10001
PLBL	Spartobacteria bacterium isolate palsa_1417 73.20111000_P3M.9_contig_1010
PLBN	Candidate division WPS-2 bacterium isolate palsa_1500 73.20111000_P3M.76_contig_10006
PLBP	Rhizobiales bacterium isolate palsa_905 73.20111000_P3M.64_contig_105
PLBR	Nitrospira sp. isolate palsa_1310 73.20111000_P3M.58_contig_100063
PLBV	Rhizobiales bacterium isolate palsa_904 73.20111000_P3M.42_contig_101391
PLBW	Acidobacteriaceae bacterium isolate palsa_254 73.20111000_P3M.39_contig_1001
PLBX	Acidobacteriaceae bacterium isolate palsa_253 73.20111000_P3M.32_contig_100727
PLCD	Blastocatellia bacterium isolate palsa_251 73.20111000_P3M.19_contig_1086
PLCE	Spartobacteria bacterium isolate palsa_1415 73.20111000_P3M.16_contig_1005
PLCF	Candidate division WPS-2 bacterium isolate palsa_1497 73.20111000_P3M.15_contig_100151
PLCG	Thaumarchaeota archaeon isolate palsa_1368 73.20111000_P3M.136_contig_100960
PLCH	Chitinophagaceae bacterium isolate palsa_954 73.20111000_P3M.131_contig_100129
PLCI	Acidimicrobiaceae bacterium isolate palsa_608 73.20111000_P3M.111_contig_10010
PLCJ	Candidatus Adlerbacteria bacterium isolate palsa_1324 73.20111000_P3M.106_contig_210
PLCL	Candidate division AD3 bacterium isolate palsa_849 73.20111000_P3D.8_contig_100491
PLCP	Verrucomicrobia subdivision 3 bacterium isolate palsa_1412 73.20111000_P3D.38_contig_10006
PLCQ	Candidate division AD3 bacterium isolate palsa_848 73.20111000_P3D.3_contig_100444
PLCV	Acidimicrobiaceae bacterium isolate palsa_606 73.20111000_P3D.18_contig_10047
PLCY	Spartobacteria bacterium isolate palsa_1411 73.20111000_P3D.13_contig_10281
PLDB	Actinobacteria bacterium isolate palsa_605 73.20111000_P2S.4_contig_10007
PLDI	Acidimicrobiaceae bacterium isolate palsa_604 73.20111000_P2D.9_contig_1000
PLDL	Candidate division AD3 bacterium isolate palsa_845 73.20111000_P2D.5_contig_100310
PLDM	Acidobacteriaceae bacterium isolate palsa_242 73.20111000_P2D.43_contig_10091
PNBC	Spartobacteria bacterium isolate palsa_1430 73.20120500_P38.6_contig_1006
PNBD	Deltaproteobacteria bacterium isolate palsa_1115 73.20111000_P3M.98_contig_1021
PNBF	Acidobacteriaceae bacterium isolate palsa_250 73.20111000_P3D.50_contig_10016
PNBE	Candidate division AD3 bacterium isolate palsa_851 73.20111000_P3M.52_contig_10058
PNBJ	Methanoregula sp. isolate fen_27 73.20110800_E1S.23_contig_100587
PNBI	Methanomassiliicoccaceae archaeon isolate fen_33 73.20110800_E3D.115_contig_100668
PNBK	Acidobacteriaceae bacterium isolate bog_156 73.20110700_S2D.16_contig_100
PNBL	Candidate division WPS-2 bacterium isolate bog_1486 73.20110700_S1M.47_contig_100990
PNBM	Ignavibacteriae bacterium isolate fen_1257 73.20100900_E2D.50_contig_10021
PNBN	Ignavibacteriae bacterium isolate fen_1256 73.20100900_E2D.31_contig_100487
PNBG	Solibacterales bacterium isolate bog_217 73.20110800_S2S.19_contig_10010
PNBH	Acidobacteriaceae bacterium isolate bog_211 73.20110800_S2D.41_contig_10
PNBP	Methanoregula sp. isolate fen_60 73.20120700_E1X.21_contig_10143
PNBO	Myxococcales bacterium isolate fen_1138 73.20120700_E3M.16_contig_100266
PNBQ	Acidobacteriaceae bacterium isolate palsa_314 73.20120600_P3S.4_contig_1
PNBR	Myxococcales bacterium isolate fen_1128 73.20120600_E3D.19_contig_100021
PLDN	Acidimicrobiaceae bacterium isolate palsa_601 73.20111000_P2D.26_contig_10081
PLDO	Solibacterales bacterium isolate palsa_241 73.20111000_P2D.25_contig_10009
PLDS	Alphaproteobacteria bacterium isolate palsa_902 73.20111000_P1S.7_contig_1015
PLDT	Actinobacteria bacterium isolate palsa_599 73.20111000_P1S.6_contig_10084
PLDU	Actinobacteria bacterium isolate palsa_598 73.20111000_P1S.5_contig_10035
PLDZ	Candidate division AD3 bacterium isolate palsa_844 73.20111000_P1M.26_contig_100491
PLDW	Gemmataceae bacterium isolate palsa_1347 73.20111000_P1S.15_contig_1
PLEA	Acidobacteriaceae bacterium isolate palsa_237 73.20111000_P1M.23_contig_10006
PLED	Candidate division WPS-2 bacterium isolate palsa_1493 73.20111000_P1M.11_contig_1022
PLEE	Acidobacteriaceae bacterium isolate palsa_236 73.20111000_P1D.8_contig_10025
PLEH	Phenylobacterium sp. isolate palsa_901 73.20111000_P1D.30_contig_10031
PLEI	Acidimicrobiaceae bacterium isolate palsa_596 73.20111000_P1D.18_contig_100
PLEJ	Ignavibacteriae bacterium isolate fen_1270 73.20111000_E3D.8_contig_100232
PLEP	Euryarchaeota archaeon isolate fen_40 73.20111000_E2D.1_contig_100725
PLEQ	Deltaproteobacteria bacterium isolate bog_1112 73.20110800_S3S.83_contig_100733
PLER	Acidimicrobiaceae bacterium isolate bog_594 73.20110800_S3S.8_contig_10019
PLEU	Spartobacteria bacterium isolate bog_1408 73.20110800_S3S.60_contig_101420
PLEV	Acidimicrobiaceae bacterium isolate bog_592 73.20110800_S3S.6_contig_1084
PLEW	Planctomycetes bacterium isolate bog_1363 73.20110800_S3S.47_contig_100246
PLEX	Solibacterales bacterium isolate bog_234 73.20110800_S3S.41_contig_10035
PLEY	Burkholderiales bacterium isolate bog_994 73.20110800_S3S.32_contig_10530
PLFA	Caulobacteraceae bacterium isolate bog_900 73.20110800_S3S.25_contig_10002
PLFD	Candidate division FCPU426 bacterium isolate bog_1179 73.20110800_S3S.14_contig_1008
PLFC	Candidate division WPS-2 bacterium isolate bog_1492 73.20110800_S3S.15_contig_10628
PLFE	Solibacterales bacterium isolate bog_233 73.20110800_S3S.12_contig_10096
PLFF	Acidimicrobiaceae bacterium isolate bog_590 73.20110800_S3M.7_contig_10019
PLFG	Acidimicrobiaceae bacterium isolate bog_589 73.20110800_S3M.6_contig_10018
PLFH	Solirubrobacterales bacterium isolate bog_588 73.20110800_S3M.53_contig_10113
PLFJ	Verrucomicrobiales bacterium isolate bog_1407 73.20110800_S3M.43_contig_1006
PLFK	Acidobacteriaceae bacterium isolate bog_231 73.20110800_S3M.4_contig_10049
PLDP	Actinobacteria bacterium isolate palsa_600 73.20111000_P2D.24_contig_10037
PLDQ	Acidobacteriaceae bacterium isolate palsa_239 73.20111000_P2D.13_contig_1003
PLDR	Acidobacteriaceae bacterium isolate palsa_240 73.20111000_P2D.1_contig_10154
PLDV	Acidobacteriaceae bacterium isolate palsa_238 73.20111000_P1S.4_contig_108
PLDX	Spartobacteria bacterium isolate palsa_1409 73.20111000_P1M.8_contig_10023
PLDY	Candidate division WPS-2 bacterium isolate palsa_1495 73.20111000_P1M.33_contig_10092
PLEB	Chitinophagaceae bacterium isolate palsa_953 73.20111000_P1M.22_contig_10012
PLEC	Gammaproteobacteria bacterium isolate palsa_1201 73.20111000_P1M.14_contig_101022
PLEF	Acidimicrobiaceae bacterium isolate palsa_597 73.20111000_P1D.5_contig_100742
PLEG	Gemmatimonadetes bacterium isolate palsa_1236 73.20111000_P1D.32_contig_10021
PLEK	Myxococcales bacterium isolate fen_1113 73.20111000_E3D.4_contig_10
PLEL	Chloroflexi bacterium isolate fen_1034 73.20111000_E3D.2_contig_10019
PLEM	Solibacterales bacterium isolate fen_235 73.20111000_E3D.16_contig_100174
PLEN	Euryarchaeota archaeon isolate fen_41 73.20111000_E3D.1_contig_100538
PLES	Solirubrobacterales bacterium isolate bog_593 73.20110800_S3S.73_contig_102417
PLET	Gammaproteobacteria bacterium isolate bog_1200 73.20110800_S3S.7_contig_10075
PLEZ	Acidimicrobiaceae bacterium isolate bog_591 73.20110800_S3S.3_contig_11122
PLFB	Acetobacteraceae bacterium isolate bog_899 73.20110800_S3S.20_contig_10023
PLFI	Solibacterales bacterium isolate bog_232 73.20110800_S3M.5_contig_10023
PLEO	Acidimicrobiaceae bacterium isolate fen_595 73.20111000_E2D.8_contig_100704
PLFN	Granulicella sp. isolate bog_230 73.20110800_S3M.25_contig_10002
PLFL	Acetobacteraceae bacterium isolate bog_898 73.20110800_S3M.33_contig_100159
PLFO	Acidimicrobiaceae bacterium isolate bog_586 73.20110800_S3M.23_contig_100528
PLFR	Acidobacteriaceae bacterium isolate bog_228 73.20110800_S3M.17_contig_100
PLFS	Acidimicrobiaceae bacterium isolate bog_585 73.20110800_S3M.13_contig_111533
PLFQ	Acidobacteriaceae bacterium isolate bog_229 73.20110800_S3M.18_contig_10
PLFT	Candidate division AD3 bacterium isolate bog_843 73.20110800_S3M.11_contig_101968
PLFU	Verrucomicrobia subdivision 3 bacterium isolate bog_1406 73.20110800_S3M.10_contig_1
PLFV	Acidimicrobiaceae bacterium isolate bog_584 73.20110800_S3D.8_contig_10154
PLFW	Acidobacteriaceae bacterium isolate bog_227 73.20110800_S3D.78_contig_10062
PLFM	Syntrophaceae bacterium isolate bog_1111 73.20110800_S3M.31_contig_101959
PLFP	Acidimicrobiaceae bacterium isolate bog_587 73.20110800_S3M.2_contig_10135
PLFX	Solirubrobacterales bacterium isolate bog_583 73.20110800_S3D.66_contig_11551
PLFY	Acidobacteriaceae bacterium isolate bog_226 73.20110800_S3D.6_contig_10478
PLGB	Actinobacteria bacterium isolate bog_582 73.20110800_S3D.57_contig_100017
PLGC	Acidimicrobiaceae bacterium isolate bog_581 73.20110800_S3D.51_contig_1001
PLGD	Acidobacteriaceae bacterium isolate bog_223 73.20110800_S3D.50_contig_1019
PLGE	Solibacterales bacterium isolate bog_225 73.20110800_S3D.5_contig_1017
PLGH	Solibacterales bacterium isolate bog_221 73.20110800_S3D.36_contig_10011
